Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Price Category Code,Terminal,Boarding Area,Passenger Count,Operating != Published,Rank by Passenger Count
201111,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Other,International,G,10252,False,8424.5
201209,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Other,International,G,10252,False,8424.5
201106,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Enplaned,Other,International,A,10250,False,8426.0
201702,Air China,CA,Air China,CA,International,Asia,Deplaned,Other,International,G,10248,False,8427.5
201501,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Other,International,G,10248,False,8427.5
201007,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Enplaned,Other,International,A,10247,False,8429.0
200907,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Australia / Oceania,Deplaned,Other,International,G,10245,False,8430.0
201012,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Australia / Oceania,Deplaned,Other,International,G,10244,False,8431.0
201609,Compass Airlines,CP,American Airlines,AA,Domestic,US,Enplaned,Other,Terminal 2,D,10243,True,8432.0
201109,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Other,International,G,10242,False,8433.0
201603,Compass Airlines,CP,Delta Air Lines,DL,Domestic,US,Deplaned,Other,Terminal 1,C,10239,True,8434.0
200911,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Deplaned,Other,Terminal 1,C,10237,True,8435.0
201012,SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,International,Canada,Deplaned,Other,Terminal 3,F,10234,True,8436.5
200511,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Other,International,A,10234,False,8436.5
201307,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Enplaned,Other,International,A,10227,False,8438.0
200706,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Deplaned,Other,International,A,10225,False,8439.0
200704,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Deplaned,Other,International,A,10223,False,8440.0
201502,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Deplaned,Other,International,A,10222,False,8441.0
201510,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Enplaned,Other,International,A,10221,False,8442.0
200509,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Canada,Enplaned,Other,Terminal 3,F,10220,False,8443.0
201012,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Other,International,A,10219,False,8444.0
